"","id","passer_x","passer_y","receiver_x","receiver_y","to_receiver_x","to_receiver_y","ball_start_x","ball_start_y","ball_start_z","ball_end_x","ball_end_y","ball_end_z","to_receiver","assist_opp","pass_type","frame","game_clock","oteam","dteam","passer","receiver","start_clock","complete","is_to","end_clock","led_to_shot","inbounds","backcourt","reversal","secondary_assist","season","game_code","period","chance_id","possession_id","pbp_id"
"53","2017102117_1_54705",29.89,22.02,NA,NA,37.96,30.71,31.97,24.1,4.58,34.96,31.09,6.29,725627757610248,0,"other",8025,441.160003662109,17,25,816303746184945,NA,441.160003662109,0,1,440.880004882812,0,0,0,0,0,2017,2017102117,1,"2017102117_1_54587","2017102117_1_54587",NA
"54","2017102117_1_54773",55.4,6.62,39.41,36,NA,NA,54.35,9.79,4.65,39.72,33.56,5.94,NA,0,"other",8093,438.440002441406,25,17,725627757610248,175966439557606,438.440002441406,1,0,437.799987792969,0,0,1,0,0,2017,2017102117,1,"2017102117_1_54706","2017102117_1_54706",NA
"55","2017102117_1_54822",16.36,26.21,7.93000000000001,30.5,NA,NA,13.2,28.42,5.56,10.76,29.35,5.38,NA,0,"interior",8142,436.480010986328,25,17,175966439557606,862504243765291,436.480010986328,1,0,436.399993896484,0,0,0,0,0,2017,2017102117,1,"2017102117_1_54706","2017102117_1_54706",NA
"56","2017102117_1_54868",6.64,28.07,24.5,42.48,NA,NA,9.12,30.61,6.48,23.13,39.64,6.02,NA,1,"kickout",8188,434.640014648438,25,17,862504243765291,487201425270005,434.640014648438,1,0,434.040008544922,1,0,0,0,0,2017,2017102117,1,"2017102117_1_54706","2017102117_1_54706",NA
"57","2017102117_1_55067",55.89,18.1,51.36,37.38,NA,NA,55.99,21.43,7.14,51.43,33.27,6.83,NA,0,"outlet",8387,426.679992675781,17,25,721664536625359,245349225423068,426.679992675781,1,0,426.079986572266,0,0,1,0,0,2017,2017102117,1,"2017102117_1_54996","2017102117_1_54996",NA
"58","2017102117_1_55147",19.43,40.75,29.54,27.73,NA,NA,20.11,37.34,5.57,26.83,29.44,5.69,NA,0,"perimeter",8467,423.480010986328,17,25,245349225423068,323133616590607,423.480010986328,1,0,423.160003662109,0,0,0,0,0,2017,2017102117,1,"2017102117_1_54996","2017102117_1_54996",NA
"59","2017102117_1_55172",30.97,25.5,24.01,7.81,NA,NA,29.26,22.71,4.35,25.15,11.43,5.6,NA,0,"perimeter",8492,422.480010986328,17,25,323133616590607,721664536625359,422.480010986328,1,0,422.119995117188,1,0,0,1,0,2017,2017102117,1,"2017102117_1_54996","2017102117_1_54996",NA
"60","2017102117_1_55302",94.12,24.83,89.5,29.5,NA,NA,90.99,25.62,5.04,90.31,26.7,5.11,NA,0,"other",8622,417.279998779297,25,17,608235943731620,487201425270005,417.279998779297,1,0,417.200012207031,0,1,1,0,0,2017,2017102117,1,"2017102117_1_55239","2017102117_1_55239",NA
"61","2017102117_1_55545",41.38,17.13,26.3,27.67,NA,NA,39.18,20.56,2.8,29.84,26.23,3.22,NA,0,"perimeter",8865,407.559997558594,25,17,487201425270005,608235943731620,407.559997558594,1,0,407.119995117188,0,0,0,0,0,2017,2017102117,1,"2017102117_1_55239","2017102117_1_55239",NA
"62","2017102117_1_55567",30.01,26.52,37.53,24.47,NA,NA,33.57,27.12,4.05,34.75,26.93,3.96,NA,0,"handoff",8887,406.679992675781,25,17,608235943731620,487201425270005,406.679992675781,1,0,406.600006103516,1,0,0,0,0,2017,2017102117,1,"2017102117_1_55239","2017102117_1_55239",NA
"63","2017102117_1_60894",95.58,18.9,85.36,26.5,NA,NA,92.63,21.04,6.08,88.11,24.26,6.12,NA,0,"other",9414,404.320007324219,17,25,311420339272439,816303746184945,404.320007324219,1,0,404.320007324219,0,1,1,0,0,2017,2017102117,1,"2017102117_1_60810","2017102117_1_60810",NA
"64","2017102117_1_61032",37.53,42.23,30.19,41.77,NA,NA,34.71,43.46,5.49,32.88,43.44,5.61,NA,0,"perimeter",9552,399.359985351562,17,25,816303746184945,311420339272439,399.359985351562,1,0,399.279998779297,0,0,0,0,0,2017,2017102117,1,"2017102117_1_60810","2017102117_1_60810",NA
"65","2017102117_1_61073",25.29,44.7,21.92,32.79,NA,NA,25.76,40.9,6.44,24.85,34.83,6.13,NA,0,"elbow entry",9593,397.720001220703,17,25,311420339272439,721664536625359,397.720001220703,1,0,397.440002441406,1,0,0,0,0,2017,2017102117,1,"2017102117_1_60810","2017102117_1_60810",NA
"66","2017102117_1_62216",95.77,25.96,85.5,33.5,NA,NA,91.84,27.09,4.9,87.72,30.78,0.84,NA,0,"other",10256,389.959991455078,25,17,862504243765291,487201425270005,389.959991455078,1,0,389.959991455078,0,1,1,0,0,2017,2017102117,1,"2017102117_1_62110","2017102117_1_62110",NA
"67","2017102117_1_62484",32.87,40.44,30.43,15.1,NA,NA,32.18,36.63,4.12,31,17.6,6.02,NA,0,"perimeter",10524,380.279998779297,25,17,487201425270005,175966439557606,380.279998779297,1,0,379.839996337891,1,0,0,0,0,2017,2017102117,1,"2017102117_1_62110","2017102117_1_62110",NA
"68","2017102117_1_62633",88.27,27.23,85.54,39.4,NA,NA,87.12,31.06,5.53,85.86,36.36,5.19,NA,0,"outlet",10673,374.320007324219,17,25,311420339272439,721664536625359,374.320007324219,1,0,374.119995117188,0,0,1,0,0,2017,2017102117,1,"2017102117_1_62595","2017102117_1_62595",NA
"69","2017102117_1_62804",3.68,23.96,NA,NA,15.93,12.79,4.52,20.49,8.25,16.22,10.69,6.86,487201425270005,0,"other",10844,367.480010986328,17,25,721664536625359,NA,367.480010986328,0,1,367,0,0,0,0,0,2017,2017102117,1,"2017102117_1_62595","2017102117_1_62595",NA
"70","2017102117_1_62936",15.55,20.57,10.94,3.29,NA,NA,15.58,17.38,5.69,12.73,6.82,4.71,NA,0,"kickout",10976,362.200012207031,25,17,487201425270005,175966439557606,362.200012207031,1,0,361.880004882812,0,0,0,0,0,2017,2017102117,1,"2017102117_1_62804","2017102117_1_62804",NA
"71","2017102117_1_62966",8.18000000000001,1.04,20.38,10.93,NA,NA,10.9,3.59,4.78,17.99,8.48999999999999,5.29,NA,1,"perimeter",11006,361,25,17,175966439557606,487201425270005,361,1,0,360.760009765625,1,0,0,0,0,2017,2017102117,1,"2017102117_1_62804","2017102117_1_62804",NA
"72","2017102117_1_63118",96.3,18.04,71.47,37.14,NA,NA,92.98,20.06,6.07,74.11,34.1,8.79,NA,0,"other",11158,354.920013427734,17,25,311420339272439,323133616590607,354.920013427734,1,0,354.239990234375,0,1,1,0,0,2017,2017102117,1,"2017102117_1_62996","2017102117_1_62996",NA
"73","2017102117_1_63322",13.4,45.51,12.02,48.67,NA,NA,14.72,47.95,3.73,14.66,48.01,3.73,NA,0,"handoff",11362,346.760009765625,17,25,323133616590607,840953120976553,346.760009765625,1,0,346.679992675781,0,0,0,0,0,2017,2017102117,1,"2017102117_1_62996","2017102117_1_62996",NA
"74","2017102117_1_63929",8.66,51.46,18.49,39.31,NA,NA,11.21,49.48,5.21,17.6,42.37,5.88,NA,0,"perimeter",11609,344.160003662109,17,25,831584363294517,476981043806967,344.160003662109,1,0,344.160003662109,0,1,0,0,0,2017,2017102117,1,"2017102117_1_63387","2017102117_1_62996",NA
"75","2017102117_1_63953",20.29,40.67,19.06,47.59,NA,NA,20.58,44.03,4.72,20.64,44.6,4.71,NA,0,"handoff",11633,343.679992675781,17,25,476981043806967,831584363294517,343.679992675781,1,0,343.600006103516,1,0,0,0,0,2017,2017102117,1,"2017102117_1_63387","2017102117_1_62996",NA
"76","2017102117_1_64074",81.5,33.5,82.07,40.07,NA,NA,80.57,36.27,3.2,80.53,37.75,3.93,NA,0,"outlet",11754,338.799987792969,25,17,175966439557606,394352135623206,338.799987792969,1,0,338.720001220703,0,0,1,0,0,2017,2017102117,1,"2017102117_1_64054","2017102117_1_64054",NA
"77","2017102117_1_64091",79.11,43.29,80.93,21.93,NA,NA,79.62,40.02,6.27,79.49,25.46,6.04,NA,0,"other",11771,338.119995117188,25,17,394352135623206,487201425270005,338.119995117188,1,0,337.519989013672,1,0,1,0,0,2017,2017102117,1,"2017102117_1_64054","2017102117_1_64054",NA
"78","2017102117_1_64401",28.36,27.79,37.26,31.83,NA,NA,31.86,29.42,4.4,33.83,31.07,4.85,NA,0,"attacking",12081,325.720001220703,17,25,831584363294517,721664536625359,325.720001220703,1,0,325.559997558594,0,0,0,0,1,2017,2017102117,1,"2017102117_1_64298","2017102117_1_64298",NA
"79","2017102117_1_64413",34.57,31.64,22.79,45.7,NA,NA,31.95,34.53,5.24,24.86,42.8,1.72,NA,1,"perimeter",12093,325.239990234375,17,25,721664536625359,840953120976553,325.239990234375,1,0,324.880004882812,1,0,0,0,0,2017,2017102117,1,"2017102117_1_64298","2017102117_1_64298",NA
"80","2017102117_1_64591",94.42,13.39,87.5,27.36,NA,NA,93.13,16.83,6.56,89.28,24.28,6.22,NA,0,"other",12271,318.119995117188,25,17,487201425270005,394352135623206,318.119995117188,1,0,317.760009765625,0,1,1,0,0,2017,2017102117,1,"2017102117_1_64450","2017102117_1_64450",NA
